title,doi
Determination of line intensity and pressure broadening of the 619.68 nm methane overtone absorption line at low temperatures using intracavity laser spectroscopy,10.1016/0022-4073(93)90007-5
Measurements of Air-Broadening and Pressure-Shifting of Methane Lines in the 2.3-μm Region,10.1006/jmsp.1993.1008
Spectral parameters of self- and hydrogen-broadened methane from 2000 to 9500 cm-1 for remote sounding of the atmosphere of jupiter,10.1016/0022-4073(93)90072-p
Diode laser spectroscopy of methane overtone transitions,10.1364/ao.32.005211
Line strengths of the ν2 + ν3 and ν3 − ν2 bands of methane (12CH4),10.1016/0022-2852(92)90134-a
Pure rotational transitions in the ν3 state of methane,10.1016/0022-2852(92)90478-7
High-resolution q-cw SRS spectrum of 12CH4 in the region of the level crossing between ν1 and ν2 + ν4,10.1016/0022-2852(92)90089-7
Low-temperature pressure broadening in the ν3 band of methane in the presence of para and ortho hydrogen,10.1016/0022-2852(92)90006-a
Temperature dependence of broadening and shifts of methane lines in the ν4 band,10.1016/0584-8539(92)80263-v
Spectroscopy of methane using a Nd:YAG laser at 134 μm,10.1364/ao.31.000815
REMOTE SENSING OF THE ATMOSPHERE BY HIGH RESOLUTION INFRARED ABSORPTION SPECTROSCOPY,10.1016/b978-0-12-580645-9.50006-x
Absorption parameters of very dense molecular spectra for the HITRAN compilation,10.1016/0022-4073(92)90135-q
Symmetry selective cooling in the supersonic jet expansion of methane,10.1016/0022-2852(91)90381-j
Intracavity-laser-absorption spectroscopy of the visible overtone transition of methane in a supersonically cooled jet,10.1016/0009-2614(91)85116-e
Pressure broadening and line shifts of Q-branch rotational transitions of methane by self- and air-collisions,10.1016/0022-2852(90)90070-7
Determination by neutron spectroscopy of the external frequencies of a CH4 molecule adsorbed in an NaA zeolite cavity,10.1039/ft9908601905
Crystal field effects on the infrared spectra of phones I and II of crystalline CH4,10.1016/0584-8539(90)80222-k
"Fluorescence from excitation of CH4, CH3OH and CH3SH by extreme vacuum ultraviolet radiation",10.1016/0022-4073(90)90119-q
"The temperature dependence of lineshifts, linewidths and line intensities of methane at low temperatures",10.1016/0022-4073(90)90060-j
