title,doi
High Resolution Infrared Spectroscopy From Space: Preliminary Results Of The Atms Experiment On Spacelab-3,10.1117/12.970721
Fourth-order invariant parameters for F2 isolated fundamental states of tetrahedral molecules: The study of the ν4 band of 12CH4,10.1016/0022-2852(84)90108-5
Measurement of state-to-state rotational energy transfer in methane by infrared double resonance,10.1063/1.447109
Rotational analysis of vibrational polyads in tetrahedral molecules: Line parameters of the infrared spectrum of 12CH4 in the range 2250–3260 cm−1—Theory versus experiment,10.1016/0022-2852(83)90045-0
Strengths and lorentz broadening coefficients for spectral lines in the ν3 and ν2 + ν4 bands of 12CH4 and 13CH4,10.1016/0022-2852(83)90271-0
"Errata: A line parameter list for the v2 and v4 bands of 12CH4 and 13CH4, extended to J′ = 25 and its application to planetary atmospheres",10.1016/0022-4073(83)90047-x
Tunable diode laser measurements of intensities and Lorentz broadening coefficients of lines in the ν2 band of 12CH4,10.1016/0022-4073(83)90144-9
Thermal infrared lines of methane broadened by nitrogen at low temperatures,10.1016/0022-4073(83)90001-8
Computer Measurement of Line Strengths with Application to the Methane Spectrum,10.1366/0003702834634514
Diffracted light spectroscopy of the 3.39 µm CH&amp;lt;inf&amp;gt;4&amp;lt;/inf&amp;gt;system,10.1109/jqe.1983.1071756
Rotational analysis of vibrational polyads in tetrahedral molecules,10.1016/0022-2852(82)90172-2
Measurement and analysis of the infrared absorption spectrum of the 2ν2 band of 12CH4,10.1016/0022-2852(82)90097-2
Parameters for the ν3 + ν4 energy levels of 12CH4 and 13CH4,10.1016/0022-2852(82)90166-7
Line strengths of the ν1 + ν4 band of 12CH4,10.1016/0022-2852(82)90217-x
The ν2 + ν4 and 2ν2 isotropic Raman bands of 12CH4,10.1016/0022-2852(82)90132-1
Determination of the ν4 band strength of 12CH4 from diode laser line strength measurements,10.1016/0022-2852(82)90013-3
Analysis of the ν1 and ν2 + ν4 bands of 12CH4,10.1016/0022-2852(82)90171-0
"Molecular constants for the interacting upper states of the ν1, ν3, 2ν2, ν2 + ν4, and 2ν4 bands in 12CH4",10.1016/0022-2852(82)90096-0
Accurate measurement of the pressure broadening of the ν1 Raman line of CH4 in the 1–50 atm region by inverse Raman spectroscopy,10.1016/0009-2614(82)80160-7
Accurate measurement of the pressure broadening of the ν1 Raman line of CH4 in the 1–50 atm region by inverse Raman spectroscopy,10.1016/0009-2614(82)80160-7
The 2ν<sub>4</sub> isotropic and anisotropic Raman bands of CH<sub>4</sub>,10.1002/jrs.1250120108
Absorption by self-broadened rotational lines in the v4-fundamental of 12CH4,10.1016/0022-4073(81)90079-0
Transition moment and line strengths of the ν3 band of 12CH4,10.1016/0022-2852(81)90286-1
Extended assignment and analysis of the ν2 and ν4 infrared bands of 12CH4,10.1016/0022-2852(81)90113-2
Line assignments and intensities of the ν2 + ν3 − ν2 band of 12CH4,10.1016/0022-2852(81)90045-x
Extended line assignments for the ν3 + ν4 band of 12CH4,10.1016/0022-2852(81)90114-4
Line assignments and intensities for the ν3 + ν4 − ν4 band of 12CH4,10.1016/0022-2852(81)90115-6
Study of the tunneling rotations in phase II of solid CH4 with high resolution neutron spectroscopy,10.1063/1.442558
Intensity measurements in the 2v3-band of 13CH4 at low temperatures,10.1016/0022-4073(81)90081-9
Analysis of the ν2 + ν3 band of 12CH4 and 13CH4,10.1016/0022-2852(80)90192-7
"A line parameter list for the ν2 and ν4 bands of 12CH4 and 13CH4, extended to J′ = 25 and its application to planetary atmospheres",10.1016/0022-4073(80)90023-0
The region of the 3ν3 band of methane,10.1016/0022-2852(80)90122-8
Avoided-crossing molecular-beam spectroscopy of methane,10.1063/1.439581
Optical Excitation of the Rotational Transition of Methane in Condensed Rare Gas Matrices,10.1143/jpsj.48.228
